"ID","description","price"
"0","Gorgeous Steel Knife","75.60"
"1","Heavy Duty Iron Shoes","94.48"
"2","Incredible Concrete Table","3.45"
"3","Rustic Steel Bench","87.75"
"4","Rustic Rubber Table","92.14"
"5","Fantastic Leather Shoes","28.26"
"6","Gorgeous Bronze Pants","41.47"
"7","Practical Rubber Wallet","89.53"
"8","Sleek Cotton Computer","4.82"
"9","Aerodynamic Leather Computer","66.99"
"10","Sleek Copper Keyboard","43.03"
"11","Gorgeous Iron Plate","45.96"
"12","Sleek Wool Watch","0.26"
"13","Incredible Marble Car","97.08"
"14","Rustic Plastic Gloves","96.79"
"15","Synergistic Iron Plate","4.28"
"16","Lightweight Paper Clock","84.88"
"17","Ergonomic Copper Shoes","10.67"
"18","Practical Bronze Lamp","93.04"
"19","Fantastic Silk Bench","92.44"
"20","Heavy Duty Iron Table","65.32"
"21","Practical Steel Computer","93.72"
"22","Mediocre Wooden Shoes","43.48"
"23","Sleek Bronze Hat","73.58"
"24","Durable Granite Plate","68.52"
"25","Awesome Silk Table","14.62"
"26","Durable Wool Hat","95.48"
"27","Enormous Leather Gloves","80.34"
"28","Synergistic Concrete Hat","78.90"
"29","Mediocre Wooden Keyboard","91.27"
"30","Gorgeous Steel Shoes","32.01"
"31","Ergonomic Aluminum Coat","86.95"
"32","Enormous Granite Hat","52.81"
"33","Durable Paper Table","95.37"
"34","Durable Iron Computer","47.40"
"35","Mediocre Silk Bottle","79.02"
"36","Incredible Marble Coat","11.00"
"37","Rustic Cotton Chair","74.12"
"38","Mediocre Iron Knife","47.71"
"39","Aerodynamic Wool Table","81.15"
"40","Sleek Silk Pants","40.52"
"41","Aerodynamic Wool Wallet","90.61"
"42","Durable Granite Watch","96.24"
"43","Lightweight Concrete Chair","52.01"
"44","Mediocre Concrete Clock","86.06"
"45","Mediocre Aluminum Gloves","79.65"
"46","Practical Rubber Bench","17.86"
"47","Gorgeous Linen Table","33.81"
"48","Ergonomic Wooden Car","24.34"
"49","Intelligent Concrete Chair","98.72"
"50","Fantastic Iron Coat","82.77"
"51","Ergonomic Leather Watch","76.46"
"52","Synergistic Concrete Computer","87.34"
"53","Practical Steel Plate","0.01"
"54","Sleek Aluminum Watch","12.00"
"55","Gorgeous Leather Watch","53.03"
"56","Durable Cotton Table","94.26"
"57","Synergistic Plastic Clock","26.93"
"58","Aerodynamic Granite Bench","15.24"
"59","Intelligent Concrete Gloves","49.99"
"60","Lightweight Plastic Keyboard","26.46"
"61","Sleek Steel Pants","25.83"
"62","Lightweight Copper Knife","77.54"
"63","Lightweight Silk Bag","85.87"
"64","Synergistic Plastic Bag","13.67"
"65","Synergistic Marble Chair","80.89"
"66","Lightweight Rubber Wallet","29.41"
"67","Incredible Leather Hat","73.09"
"68","Ergonomic Iron Gloves","17.71"
"69","Rustic Bronze Shoes","10.20"
"70","Practical Plastic Bench","44.46"
"71","Awesome Silk Chair","50.33"
"72","Practical Granite Gloves","95.85"
"73","Practical Leather Lamp","76.89"
"74","Mediocre Steel Gloves","26.03"
"75","Gorgeous Wooden Computer","41.23"
"76","Sleek Copper Bottle","91.02"
"77","Incredible Granite Gloves","56.12"
"78","Fantastic Granite Knife","39.94"
"79","Small Copper Hat","30.33"
"80","Synergistic Granite Bottle","39.17"
"81","Sleek Wool Wallet","83.72"
"82","Ergonomic Plastic Knife","79.73"
"83","Awesome Linen Bag","29.96"
"84","Small Concrete Car","61.42"
"85","Awesome Steel Pants","83.34"
"86","Ergonomic Concrete Coat","76.36"
"87","Incredible Bronze Gloves","61.12"
"88","Intelligent Rubber Computer","46.64"
"89","Lightweight Leather Shoes","6.10"
"90","Ergonomic Wooden Pants","81.39"
"91","Aerodynamic Steel Bottle","7.92"
"92","Heavy Duty Steel Clock","48.51"
"93","Incredible Aluminum Gloves","11.56"
"94","Gorgeous Aluminum Bench","14.63"
"95","Enormous Linen Coat","73.68"
"96","Aerodynamic Aluminum Bag","63.21"
"97","Intelligent Wool Lamp","3.67"
"98","Fantastic Plastic Bench","9.73"
"99","Synergistic Wool Bottle","68.16"
"100","Heavy Duty Bronze Bottle","4.72"
